Pusa Pusa hispida 70963.6
Ovis Ovis dalli 70194.13
Potamochoerus Potamochoerus porcus 70000.31
Capra Capra ibex 69546.83
Axis Axis axis 69499.99
Hippocamelus Hippocamelus bisulcus 69240.81
Potamochoerus Potamochoerus larvatus 69063.79
Hemitragus Hemitragus jemlahicus 68616.43
Hippocamelus Hippocamelus antisensis 68599.35
Cephalophus Cephalophus jentinki 68489.54
Arctocephalus Arctocephalus australis 67979.43
Rusa Rusa timorensis 66375.5
Stenella Stenella attenuata 65733.59
Phocoena Phocoena dioptrica 65000
Crocuta Crocuta crocuta 63369.98
Pusa Pusa caspica 62326.2
Cephalophus Cephalophus silvicultor 62006.6
Capra Capra pyrenaica 60898.77
Phocoena Phocoena spinipinnis 59999.99
Capra Capra caucasica 58149.52
Redunca Redunca arundinum 58059.24
Dama Dama mesopotamica 57224.61
Dama Dama dama 57224.61
Helarctos Helarctos malayanus 57075.78
Cephalophus Cephalophus spadix 56857.02
Orycteropus Orycteropus afer 56175.2
Callorhinus Callorhinus ursinus 55464.82
Nanger Nanger granti 55464.46
Axis Axis kuhlii 54999.99
Capra Capra falconeri 54303.37
Puma Puma concolor 53954.05
Sus Sus celebensis 53813.21
Pongo Pongo pygmaeus 53408.29
Cervus Cervus nippon 52999.99
Phocoena Phocoena phocoena 52730.93
Aepyceros Aepyceros melampus 52591.69
Panthera Panthera pardus 52399.99
Pseudois Pseudois nayaur 52334.57
Acinonyx Acinonyx jubatus 50577.92
Stenella Stenella longirostris 50500
Capra Capra cylindricornis 50000
Cephalorhynchus Cephalorhynchus hectori 49999.99
Rusa Rusa marianna 49457.61
Hydrochoerus Hydrochoerus hydrochaeris 48144.91
Capra Capra nubiana 47763.72
Vicugna Vicugna vicugna 47499.61
Antilocapra Antilocapra americana 47450.01
Rusa Rusa alfredi 46475.04
Pecari Pecari maximus 45000
Pan Pan troglodytes 45000
Cephalorhynchus Cephalorhynchus eutropia 45000
Redunca Redunca redunca 43288.95
Tragelaphus Tragelaphus scriptus 43250.39
Phocoena Phocoena sinus 43121.43
Capricornis Capricornis crispus 43030.64
Hyaena Hyaena brunnea 42977.93
Sotalia Sotalia guianensis 42833.44
Sotalia Sotalia fluviatilis 42833.44
Ovis Ovis orientalis 42500
Nanger Nanger soemmerringii 41582.93
Capreolus Capreolus pygargus 41371.03
Panthera Panthera uncia 41000
Priodontes Priodontes maximus 40641.89
Pontoporia Pontoporia blainvillei 40499.99
Eudorcas Eudorcas rufina 39999.99
Cephalorhynchus Cephalorhynchus heavisidii 39999.99
Axis Axis calamianensis 39812.6
Pongo Pongo abelii 39696.12
Arctocephalus Arctocephalus galapagoensis 39448.04
Macropus Macropus rufus 38968.39
Litocranius Litocranius walleri 38804.37
Saiga Saiga tatarica 37734.01
Axis Axis porcinus 37448.29
Muntiacus Muntiacus vuquangensis 36690.82
Antilope Antilope cervicapra 36301.1
Catagonus Catagonus wagneri 35566.4
Pan Pan paniscus 35119.95
Hyaena Hyaena hyaena 35070.51
Ozotoceros Ozotoceros bezoarticus 34620.4
Antidorcas Antidorcas marsupialis 33571.24
Macropus Macropus giganteus 33409.89
Rupicapra Rupicapra rupicapra 33266.35
Smutsia Smutsia gigantea 32999.7005
Pantholops Pantholops hodgsonii 32733.12
Neophocaena Neophocaena phocaenoides 32500
Neophocaena Neophocaena phocaenoides 32500
Neophocaena Neophocaena asiaeorientalis 32500
Naemorhedus Naemorhedus griseus 32000
Lasiorhinus Lasiorhinus krefftii 31849.99
Tayassu Tayassu pecari 31798.71
Canis Canis lupus 31756.51
Rupicapra Rupicapra pyrenaica 29999.99
Myrmecophaga Myrmecophaga tridactyla 29531.83
Redunca Redunca fulvorufula 29352.66
Pseudois Pseudois schaeferi 29249.99
Naemorhedus Naemorhedus baileyi 28863.45
Naemorhedus Naemorhedus goral 28796.51
Procapra Procapra gutturosa 28274.27
Ammodorcas Ammodorcas clarkei 28049.81
Procapra Procapra przewalskii 27499.99
Enhydra Enhydra lutris 27410.93
Macropus Macropus antilopinus 27250.1
Naemorhedus Naemorhedus caudatus 26999.99
Eudorcas Eudorcas rufifrons 26999.77
Gazella Gazella subgutturosa 26981.37
Lasiorhinus Lasiorhinus latifrons 26163.8
Vombatus Vombatus ursinus 26000
Pteronura Pteronura brasiliensis 26000
Macropus Macropus robustus 25978.92
Macropus Macropus fuliginosus 25564.7
Gazella Gazella cuvieri 25000
Eudorcas Eudorcas albonotata 25000
Gazella Gazella leptoceros 24645.75
Gazella Gazella arabica 24124.67
Aonyx Aonyx congicus 23800.2
Canis Canis rufus 23500
Chrysocyon Chrysocyon brachyurus 23325
Procapra Procapra picticaudata 23197.67
Elaphodus Elaphodus cephalophus 23087.87
Hystrix Hystrix javanica 23014.418
Arabitragus Arabitragus jayakari 23000
Eudorcas Eudorcas thomsonii 22907.43
Pelea Pelea capreolus 22731.33
Capreolus Capreolus capreolus 22502.01
Neofelis Neofelis diardi 22500
Muntiacus Muntiacus feae 21999.99
Lycaon Lycaon pictus 21999.99
Gazella Gazella gazella 21306.83
Hydrochoerus Hydrochoerus isthmius 21267.32
Pecari Pecari tajacu 21133.69
Mazama Mazama rufina 21099.25
Mazama Mazama pandora 21000
Mazama Mazama americana 20546.86
Capricornis Capricornis swinhoei 20500
Gazella Gazella spekei 20000
Cephalophus Cephalophus dorsalis 20000
Semnopithecus Semnopithecus schistaceus 19800
Aonyx Aonyx capensis 19322.22
Lynx Lynx lynx 19300
Tetracerus Tetracerus quadricornis 19282.12
Cephalophus Cephalophus niger 19094.32
Cephalophus Cephalophus callipygus 19079.23
